Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]	2020 [YR2020]	2021 [YR2021]	2022 [YR2022]
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Honduras	HND	1704.92889665346	1768.25390483438	2187.83343301838	2213.44050673379	2257.22528369354	2303.87850398806	2373.79155954108	2423.27605962903	2446.10809655856	2190.97436850337	2428.03194678525	2487.70561222524
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Hong Kong SAR, China	HKG	21357.2510791593	26933.2501919561	40959.9710512677	41796.8405746737	42432.1619740441	43087.5413932842	44380.8023235854	45280.4865045373	44195.2623401674	41451.2867158741	44525.5929563664	43369.7143017728
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Hungary	HUN	..	8967.69626924063	11705.0092523564	12233.299367172	12717.038597002	13035.3528590909	13628.4044885706	14377.4241602939	15083.5991718742	14430.4768288416	15533.6088997426	16288.9871454648
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Iceland	ISL	..	42174.6650584696	50946.8162625339	51233.2440468041	52951.6815110898	55513.6423015865	56501.4576788793	57697.8044237427	57461.8019611457	52442.3617742921	53825.2615913991	55886.8435936961
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	India	IND	534.48409633961	755.482289440105	1404.54533792282	1490.02849856052	1590.17432166504	1701.18422729367	1795.91183874967	1891.13842394707	1944.31483661637	1813.53454174728	1961.9608772937	2085.12108423385
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Indonesia	IDN	1483.63803208584	1845.22780079212	3086.32311706567	3203.48428713851	3322.58167907656	3453.04943043202	3591.78002859126	3741.30526695799	3892.42166201675	3780.12163455478	3892.96237157954	4073.61049438787
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Iran, Islamic Rep.	IRN	3363.51012017323	3927.70922326375	5027.48471724542	5178.90070651077	4990.93679537694	5332.10103177119	5401.45593671216	5211.11164076206	5017.11721513553	5141.08477645221	5344.95802470247	5453.00474858682
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Iraq	IRQ	3511.16652620511	4138.18793830019	4479.47041797567	4333.82398863989	4416.94292281917	4903.82325629655	4702.40048289196	4710.97614736319	4854.38649485853	4170.39204702312	4141.38817666372	4335.78313047717
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Ireland	IRL	23181.0178451808	42098.2793673021	46698.5566546237	50368.1377394965	62053.9844381587	62588.6682836096	67486.2717956178	72339.4218486536	75239.3028933993	79074.5401350894	88966.6721604807	98561.6240494809
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Isle of Man	IMN	28063.1912318304	46334.3408959987	80380.8988991388	84774.418281387	84753.4567280589	90801.1041277585	93232.584173922	95074.3747476548	95137.2757017709	86614.1156181421	..	..
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Israel	ISR	..	29321.3254007484	35348.3068537152	36035.2577522884	36206.5222171621	37109.0218162488	37953.0404593554	38744.1604404811	39591.3687578516	38176.7543372587	40802.1416187199	42594.3188732612
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Italy	ITA	27490.6320397627	32350.9043668747	30257.6274259351	29979.9187217358	30242.3861352184	30685.645898943	31244.2270989224	31593.4802621599	32114.2998563994	29373.4450918601	31600.7094763398	32902.6651365736
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Jamaica	JAM	4503.5047284318	4920.07084947528	5035.1292861516	5049.08107822918	5077.55163565712	5132.22749504131	5172.9167326338	5264.19714315924	5307.51104103109	4770.77028844977	4977.41527062173	5187.05004290353
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Japan	JPN	28422.2131195125	31430.6311303282	34239.8862473683	34386.905855287	34960.6393843385	35242.1993771881	35861.9728545838	36138.5290824719	36043.7844013365	34603.2650564305	35507.5785877682	36032.3944421352
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Jordan	JOR	3332.36017162589	3635.29215802348	4732.38722080538	4348.23665884969	4064.25301043642	3949.61078519413	3947.97166966641	3929.68718472936	3909.25004324205	3765.47907143756	3773.37881066377	3820.70179024493
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Kazakhstan	KAZ	5831.07947570737	4446.45186425372	10264.2965226551	10539.0430954447	10510.7703082872	10476.3459974345	10758.5192670085	11053.3604014369	11402.7583992887	10974.2446252917	11298.3559205841	11290.8979217078
